kDa	P1:1	P1:2	P1:3	P1:4	P1:5	P1:6	P1:7	P2:1	P2:2	P2:3	P2:4	P2:5	P2:6	P2:7
-16.5992	67.3877	70.6466	97.1952	72.6218	79.289	114.3775	121.4229	 	1.5625	7.1272	4.0828	3.7731	5.8541	4.0307
-16.3924	77.4942	72.9011	97.9964	73.8116	88.3735	124.1233	123.3684	 	1.7766	6.3772	5.0871	1.8791	6.5477	2.8418
-16.1857	74.531	64.4798	101.2407	81.5391	82.4207	119.2883	104.0381	 	3.5418	2.7683	6.5003	6.5821	2.0596	7.9723
-15.9789	82.6141	72.9788	99.433	91.8579	66.636	125.2419	109.2297	 	4.7457	4.5048	1.9895	4.9432	2.7351	11.85
-15.7721	80.8649	76.1933	112.7025	114.3446	63.4274	147.7507	111.0487	 	2.7584	6.1097	1.7377	2.2434	5.0736	6.6913
-15.5654	86.2172	74.8103	116.9198	116.7746	67.9933	157.3841	109.3013	 	7.3537	8.3923	6.1218	3.8128	7.3199	7.1098
-15.3586	83.0939	81.1518	125.8133	86.0614	79.7086	152.2615	112.6364	 	10.7651	3.8818	12.6903	6.7632	10.5214	11.1633
-15.1518	71.2926	82.7961	134.1085	66.998	90.6781	168.8974	119.1529	 	7.8285	1.965	10.0185	8.4727	11.125	3.7038
-14.9451	61.2784	86.1239	151.7043	61.877	86.6645	162.516	130.5694	 	3.1989	3.0015	8.9536	9.9129	8.0797	4.9367
-14.7383	68.7709	92.5054	153.4514	69.7298	75.6468	181.2946	133.1676	 	5.9342	2.2347	5.2483	12.1831	4.1266	3.9702
-14.5315	66.6393	95.8623	126.7696	64.2506	68.8832	203.8219	121.4772	 	6.1091	1.5763	2.8919	7.8505	3.8316	8.1475
-14.3247	61.4625	93.9395	107.0866	69.4256	67.8422	242.4245	130.495	 	2.8981	2.6408	6.2182	5.9642	3.9358	3.5043
-14.118	59.0727	90.2583	101.4815	65.7252	67.3277	274.8055	138.313	 	2.1641	5.7827	6.761	10.5874	10.2361	5.4459
-13.9112	52.7961	81.0216	99.4061	73.352	67.4307	305.8605	139.1636	 	3.9981	5.161	3.5642	6.8604	9.5827	3.3227
-13.7044	44.4411	73.6723	100.8101	68.0231	69.3523	300.5742	138.4047	 	4.9192	8.2018	1.7048	7.7997	9.0827	2.0355
-13.4977	45.4747	72.9814	104.1689	65.5778	71.2355	244.239	151.591	 	7.5934	13.5739	2.5786	9.8816	2.3481	5.1734
-13.2909	46.6427	82.0561	100.9738	75.1719	67.3643	250.7473	149.4193	 	7.4983	8.2741	6.5523	4.8289	2.1575	5.6568
-13.0841	49.3732	95.1006	99.3092	75.9975	66.3856	249.7236	142.9089	 	3.3251	8.5138	7.0743	9.1561	5.6588	8.4318
-12.8773	51.9494	92.3725	100.5034	67.7226	69.0483	236.8339	137.5433	 	2.3825	14.1081	6.4459	9.1355	9.6188	3.8603
-12.6706	50.8106	82.4501	99.5475	68.933	88.3215	203.1994	132.4319	 	6.6963	12.5573	2.1906	13.2596	4.2535	3.0346
-12.4638	57.3784	80.3364	101.2541	78.7861	86.7454	152.3487	137.3747	 	8.3793	11.8593	3.1809	7.2714	7.3573	3.5284
-12.257	56.2833	80.164	109.6884	75.0848	78.4605	102.6878	137.8964	 	3.9613	7.4377	11.7628	8.507	7.9633	3.7729
-12.0503	61.1846	90.4518	130.4822	81.3985	78.5834	85.7326	133.4755	 	6.2075	8.4523	6.765	9.6177	11.9907	6.1566
-11.8435	65.726	98.2766	129.2339	94.7862	71.6809	75.1602	135.6963	 	9.3795	10.4071	7.64	13.475	9.2727	5.8703
-11.6367	61.5296	93.2959	121.4386	105.4338	80.9179	78.6224	139.3577	 	6.8838	10.0143	5.6607	18.006	4.5762	10.8784
-11.43	68.8884	84.2231	121.6473	98.0672	89.1792	89.8249	160.4279	 	4.8911	4.9789	7.7605	15.5024	7.4699	9.7234
-11.2232	76.227	68.4963	111.9093	106.2679	108.2949	96.5775	192.3557	 	8.9677	4.9307	11.5581	18.973	8.4909	3.7893
-11.0164	77.4766	47.7797	103.134	104.9135	94.2034	88.9795	176.2298	 	4.9893	11.3249	14.31	9.8903	14.5464	7.1741
-10.8096	80.9824	47.258	109.8739	100.4605	87.015	84.695	145.118	 	3.637	7.7093	15.2876	15.1896	8.2322	10.8115
-10.6029	73.2577	45.1892	114.0666	79.6344	86.1852	78.7895	129.6971	 	3.9725	9.3535	9.4735	5.6604	10.0038	9.9195
-10.3961	70.7434	53.9101	118.9112	67.0905	77.6316	82.0914	121.3766	 	1.9628	5.0464	6.0919	2.9513	11.9579	9.1277
-10.1893	64.1751	52.9187	118.4898	54.626	79.7017	89.7712	115.9779	 	3.3444	4.8997	4.2416	6.2396	6.2257	11.9347
-9.9826	59.6314	51.4065	120.8687	63.7758	83.751	78.5616	125.5322	 	7.9073	1.9174	6.0095	9.5671	4.2472	9.671
-9.7758	59.8029	49.9249	118.8022	68.6216	90.3252	81.3816	141.151	 	4.255	1.5625	8.8978	13.9342	3.9563	4.8923
-9.569	59.8285	49.609	118.9053	66.1867	75.3864	90.2577	147.982	 	1.8827	1.5625	8.2376	12.2911	3.7758	6.5319
-9.3622	59.6536	59.7732	112.4735	62.1871	71.1718	89.8335	144.2877	 	1.5625	1.5625	8.9956	11.9207	4.362	5.9663
-9.1555	63.1778	59.0907	114.5735	75.2709	70.2344	90.6956	132.7759	 	1.5625	1.7653	5.4143	4.2903	2.8769	4.2807
-8.9487	69.201	58.0591	120.279	79.4348	75.1943	87.9518	125.3465	 	1.834	2.9224	2.0982	2.1588	1.5959	5.0248
-8.7419	75.8959	59.1692	121.965	76.9653	74.6423	101.0488	124.1888	 	4.6992	1.9193	6.3683	6.4682	1.5922	4.3325
-8.5352	82.3364	61.7168	119.4293	80.0842	74.7764	115.3961	136.8641	 	3.0646	2.4266	5.0069	4.4233	5.0867	3.9858
-8.3284	88.1088	60.1168	118.1009	74.0346	88.5167	125.03	154.4848	 	4.6834	4.9639	2.1946	2.437	6.5754	3.5205
-8.1216	100.1678	59.8703	108.4507	71.1317	89.4443	113.4449	158.8157	 	2.8969	8.9238	2.0959	8.3297	4.652	3.7933
-7.9149	85.3728	61.2314	111.6979	76.6272	91.1105	83.0391	168.5805	 	5.1859	4.264	1.5625	7.247	3.9028	6.1916
-7.7081	101.4083	66.141	113.2667	81.6198	95.1327	72.1083	170.7856	 	13.9453	9.7446	3.2641	4.4139	2.304	11.9806
-7.5013	107.5185	67.4363	113.4566	86.9261	94.424	67.5763	161.65	 	11.5014	7.8028	3.899	2.7266	5.8158	6.4494
-7.2945	107.0102	67.3807	118.3322	84.8333	92.1081	75.146	177.701	 	6.869	3.0129	2.1328	5.0621	10.8907	4.9677
-7.0878	97.332	69.6055	118.2568	79.7078	84.7501	75.0244	190.8563	 	6.8697	4.7716	6.1421	6.6736	6.2304	11.8512
-6.881	101.6003	63.4379	121.7371	73.88	88.5532	66.0696	197.6865	 	6.0438	13.598	10.206	6.9088	1.8085	12.0946
-6.6742	115.5354	65.224	120.1169	68.6497	95.1848	72.1161	161.9526	 	8.8216	6.9703	8.7803	4.9735	4.3274	8.3647
-6.4675	116.5246	69.734	120.1203	77.5811	92.5259	68.4672	147.6954	 	14.8463	1.6726	10.2659	8.0963	6.9781	13.6803
-6.2607	108.9129	66.8553	127.916	78.048	95.217	66.4882	157.8255	 	10.3918	8.2439	7.3805	9.8924	1.8008	12.0115
-6.0539	106.4701	66.8342	132.4455	79.4234	98.2284	68.5328	161.6982	 	3.1597	5.9298	7.1963	6.988	1.5625	2.7177
-5.8471	105.3354	69.0488	133.6103	93.1828	104.8351	70.1132	173.2792	 	3.4155	1.5775	8.2647	3.6587	1.7507	2.0841
-5.6404	105.6467	67.0279	142.1788	101.3574	120.557	81.692	191.5982	 	2.3362	5.4009	2.7886	3.6893	2.129	3.1422
-5.4336	102.6344	59.3605	137.4874	101.5859	123.6055	86.6241	187.985	 	1.5733	4.8609	2.8029	3.884	1.6083	1.7009
-5.2268	96.8134	55.8566	122.5367	107.3749	106.9823	82.4637	194.5025	 	2.683	2.7687	4.663	2.8257	3.1514	1.8132
-5.0201	94.5758	56.9036	120.4066	114.098	100.8008	88.1905	202.3629	 	3.7678	4.2813	3.6578	6.6534	7.6994	2.546
-4.8133	93.2456	60.0532	123.6389	116.8895	107.9791	100.0024	169.654	 	2.7447	4.1652	8.7281	11.6702	2.2724	2.4532
-4.6065	95.1038	64.5882	125.9889	122.3742	104.2851	98.9632	165.8867	 	4.2133	2.7331	7.0483	14.5232	2.6738	5.0327
-4.3998	96.5784	66.8479	129.8499	127.9327	94.6592	94.0415	168.3812	 	1.7145	1.5703	3.4015	18.6175	7.144	2.3267
-4.193	90.7805	66.2167	136.4667	145.8696	85.8033	92.3359	170.8766	 	1.5625	1.5625	1.7391	22.1985	3.4339	5.2969
-3.9862	87.5109	65.345	146.033	154.921	75.1318	100.9382	172.6113	 	1.5625	2.7743	1.6974	22.1291	7.5637	13.7203
-3.7794	94.2383	74.7911	156.2965	164.3065	72.8937	107.9761	160.723	 	1.5625	5.025	1.5794	13.0138	3.1298	3.5353
-3.5727	98.3864	83.2515	179.2183	172.9764	86.6628	87.3497	160.0151	 	1.9964	5.5703	2.2127	7.0622	4.5746	1.5625
-3.3659	106.769	90.5785	186.4412	172.3352	110.2927	85.8911	179.125	 	4.5172	10.118	5.5378	12.2213	3.8633	1.775
-3.1591	109.7341	95.512	161.8863	156.7748	128.4138	95.7861	168.4307	 	7.0051	16.7543	5.4347	12.7322	2.3627	3.0972
-2.9524	104.2973	102.896	164.5063	150.1099	111.6684	96.6338	167.0839	 	3.8533	9.7344	3.7467	11.9219	5.9594	1.9802
-2.7456	99.0562	126.6998	172.6132	136.9121	109.0305	86.801	166.6226	 	7.7193	5.2986	2.9627	12.811	7.5535	2.2796
-2.5388	87.5219	140.6421	187.7919	115.1608	115.7928	84.8576	175.8255	 	8.427	1.7988	10.8876	15.5604	3.2426	2.385
-2.332	92.0539	128.6076	211.7619	102.7296	118.059	87.5881	199.2047	 	4.9447	2.3358	12.5892	15.056	3.6979	8.5562
-2.1253	83.9872	107.7143	214.206	111.9511	106.504	89.9348	182.6107	 	2.1032	4.3222	4.053	13.5866	2.443	9.4798
-1.9185	84.1634	114.0718	213.3601	124.9543	109.3331	101.5202	168.0266	 	1.5625	2.2114	4.1758	12.5082	3.5457	3.6133
-1.7117	99.1626	110.8135	183.2195	142.0538	117.7808	110.7925	159.2522	 	1.5625	4.8103	9.6894	7.8983	11.5547	4.7356
-1.505	114.1569	101.1576	174.2862	149.1294	119.9706	106.73	162.5077	 	1.601	11.2418	6.3801	10.6491	6.0118	4.0277
-1.2982	118.5797	108.3015	168.253	134.9326	108.0693	101.874	158.9781	 	2.5942	10.2354	2.4913	6.4762	1.7062	3.0284
-1.0914	111.942	92.8643	147.0609	125.1305	100.0173	113.286	159.4843	 	9.1792	2.7837	3.1931	11.0081	8.6925	2.0538
-0.8847	112.7308	87.6147	138.6177	128.1426	101.3	129.3866	172.7226	 	5.1844	1.5625	8.031	10.093	8.7635	4.2071
-0.6779	114.7106	101.8118	144.5809	136.9655	108.9371	124.7081	197.333	 	8.0053	1.5625	9.043	12.0498	3.469	6.2357
-0.4711	109.5375	117.6512	146.5349	129.0857	123.2026	122.1572	187.5495	 	11.3428	2.646	7.1426	12.14	1.9391	4.6331
-0.2643	110.0223	120.3742	144.3854	149.87	130.2522	118.6716	176.5445	 	8.317	12.0498	5.335	10.5021	1.8669	3.9247
-0.0576	97.3199	104.9093	136.2265	149.6343	114.3879	103.7524	182.8394	 	5.4586	15.5616	4.117	9.4988	6.0143	4.6061
0.1492	92.6729	99.7027	138.9697	141.9625	116.4499	99.4591	198.968	 	7.7518	15.3136	6.4076	13.852	7.8359	7.3759
0.356	106.0819	90.7304	148.3387	142.5682	111.0631	102.4372	214.267	 	6.9646	5.2204	10.3445	17.8042	9.3802	4.3089
0.5627	94.3103	81.0056	162.4482	156.8205	113.0832	103.0907	217.5766	 	8.0477	6.2894	9.8224	16.7969	10.0183	6.192
0.7695	91.8711	84.8383	180.0992	179.4097	122.2288	104.8905	202.7757	 	8.41	5.2434	8.7643	13.1214	7.0171	13.2293
0.9763	88.8585	83.338	169.2868	214.7547	119.7661	105.8354	176.1385	 	2.7493	8.7735	10.1496	13.011	5.6382	11.1119
1.1831	90.7893	82.5816	157.1614	215.798	109.4198	108.1974	154.736	 	1.571	4.6615	7.6698	11.9049	3.2551	5.5723
1.3898	97.6716	90.6863	161.2845	187.1057	103.4864	105.8816	155.3963	 	1.5625	8.6218	4.5673	13.8634	5.484	4.3232
1.5966	99.8841	97.8157	162.6707	147.3604	104.39	100.3899	180.3826	 	2.2502	11.011	6.8614	12.4515	5.0398	2.9504
1.8034	98.1594	104.5083	169.1913	112.418	107.0035	99.7016	221.4466	 	5.6015	13.2704	6.4448	9.4962	6.3004	1.5625
2.0101	97.7198	117.4732	186.1222	116.6846	103.2162	97.8105	262.0064	 	8.5821	12.9826	2.5381	9.1244	6.4871	1.5625
2.2169	94.2458	125.8944	187.2772	127.1672	93.4637	101.2729	244.5504	 	6.192	8.9477	2.9292	16.7151	2.8933	5.7665
2.4237	93.0265	134.6299	180.6205	131.583	92.7309	113.1605	184.7439	 	6.7914	8.2602	5.7409	14.0594	5.9358	6.16
2.6304	97.2295	115.4235	186.191	134.918	102.1508	110.2548	151.6251	 	4.9899	7.2646	8.6054	7.3343	6.769	3.2518
2.8372	93.9618	99.175	206.5982	137.2821	114.073	116.8882	154.4223	 	3.1792	5.7137	7.5389	6.7711	4.2116	7.2415
3.044	89.4489	109.0443	212.7135	143.7824	130.4702	118.4317	167.4393	 	8.2649	10.6289	4.6148	8.8488	3.1187	6.4388
3.2508	99.6326	112.9999	198.5745	154.2368	135.4394	114.2546	168.2511	 	9.4454	11.907	7.2027	7.0188	9.0085	2.0076
3.4575	104.831	105.4213	190.5018	162.127	147.1723	101.5257	171.0511	 	3.4707	7.8671	9.6631	7.0708	13.8631	3.4984
3.6643	94.9544	106.356	198.2844	144.9655	154.2792	111.1175	173.443	 	7.861	7.0082	9.1371	16.582	9.8523	5.0551
3.8711	90.9229	106.513	206.9135	145.2518	147.5463	122.9356	182.8718	 	10.7824	7.5198	8.1392	14.9664	6.5762	9.8156
4.0778	98.9513	103.9909	194.99	135.7197	133.1627	120.7836	175.4361	 	8.673	8.3894	8.9802	9.7453	7.1139	13.7415
4.2846	95.9486	98.0547	176.6931	128.1926	129.9393	135.7653	169.4261	 	5.6015	7.1909	13.1296	13.2017	12.3916	7.5821
4.4914	96.0962	95.4418	162.6525	141.1791	141.4033	151.6488	173.097	 	8.4136	13.2649	9.2573	19.1594	14.1866	13.6784
4.6982	89.3369	110.7741	162.7109	157.2582	136.8963	148.9621	169.1224	 	5.357	14.5187	6.9913	14.1355	9.8161	8.7947
4.9049	83.4037	132.9509	173.366	140.5667	118.0185	155.2104	191.7407	 	3.8528	6.3526	12.0797	7.5353	11.473	11.3244
5.1117	85.3768	124.5886	174.7017	125.5886	113.7759	166.7879	187.4554	 	5.9942	8.1888	10.0663	16.783	10.2308	12.6595
5.3185	88.4404	131.6397	180.0193	115.4299	130.197	171.7648	198.771	 	3.2621	10.976	11.534	21.3572	8.3972	4.0866
5.5252	102.5226	150.8893	195.2156	116.7004	141.1484	195.3021	215.025	 	7.7007	11.6124	9.3187	20.4965	4.1862	5.6421
5.732	109.1027	140.5595	203.1327	132.3142	131.2001	196.2909	225.2864	 	8.4794	11.3429	14.6098	19.48	9.3416	9.3132
5.9388	110.4007	135.3742	179.3591	136.3087	122.4291	172.0256	203.2553	 	7.2563	9.1972	6.8122	12.2936	6.8059	10.6431
6.1455	112.1152	141.0389	186.3311	127.2128	114.847	143.0145	162.8849	 	5.7804	9.0993	7.9014	17.3344	9.1381	13.9419
6.3523	111.5545	147.3314	178.8007	106.0255	121.7673	153.7777	170.8011	 	11.626	5.6977	8.1893	19.7338	7.8825	14.2388
6.5591	116.9277	141.4732	170.3149	90.8774	142.6659	150.9448	168.8253	 	8.2172	7.3456	9.2663	23.2997	7.3195	9.1805
6.7659	125.8593	148.9133	152.9803	90.262	152.923	150.6472	176.4048	 	2.5233	4.3015	10.6142	21.5411	8.728	4.6288
6.9726	133.8753	154.7082	156.9654	97.2909	138.283	154.6863	190.6687	 	5.6243	5.7385	9.6825	16.1625	8.6371	10.1793
7.1794	156.8764	161.4017	165.4557	105.587	125.3013	151.5204	178.4013	 	4.9631	8.9101	6.2657	14.6081	9.1594	6.7532
7.3862	177.731	168.2175	177.0629	110.9525	125.5275	154.7478	157.9171	 	3.5834	4.4034	6.3157	17.0195	8.7474	5.426
7.5929	212.4519	153.9905	177.6996	128.4247	134.5424	161.8894	164.7195	 	6.5419	2.5764	11.4096	21.9404	5.7444	3.0034
7.7997	239.8501	156.0183	183.0375	142.9057	145.4033	159.8347	166.229	 	8.5124	3.688	12.9137	17.7548	6.999	7.2301
8.0065	295.4952	192.5318	181.5078	125.3537	150.0145	173.2761	167.8148	 	6.5178	2.5477	5.8986	17.9298	9.1456	6.0641
8.2132	387.1699	218.8743	168.7394	144.187	162.2772	181.8814	164.9051	 	1.7982	3.6489	8.2123	21.7757	8.3634	8.2938
8.42	495.4665	220.5131	159.8113	148.8015	179.6917	172.4779	178.4775	 	4.0376	13.5601	4.6839	21.4803	9.2918	4.9234
8.6268	649.7452	220.3186	144.5863	145.6492	194.5219	162.0377	172.7436	 	10.2899	6.281	5.305	24.5056	7.8362	6.8363
8.8336	825.9186	232.4598	140.503	136.8365	220.2192	159.6377	166.9839	 	11.6817	5.8186	4.265	29.7142	4.8118	3.5664
9.0403	1081.0303	217.4248	143.9705	139.8624	227.4848	156.7598	167.4303	 	5.7377	7.7666	9.4074	26.0379	6.0866	4.1805
9.2471	1383.0869	189.3006	149.689	143.0997	206.6027	149.2355	170.9802	 	3.7979	10.5062	8.2225	22.8403	8.7271	4.5866
9.4539	1770.1924	172.2118	154.7297	156.3093	183.3827	134.1834	188.4594	 	5.0156	5.4402	3.082	18.2333	6.8909	6.9967
9.6606	2238.7145	161.5379	159.2463	141.2906	156.996	121.5917	202.1806	 	6.4569	6.9775	1.563	21.7298	4.276	10.2765
9.8674	2821.6053	137.7949	152.7289	119.0399	140.4717	127.3708	222.1691	 	7.4964	4.3219	1.6517	23.0055	8.9754	3.9602
10.0742	3512.7146	119.1146	142.7622	110.1228	133.9827	128.483	253	 	9.3977	1.6081	6.482	22.0509	12.7752	3.1717
